City,State,E,N,A,C,O
Brookfield,Wisconsin,-0.03,-0.02,0.05,0.01,-0.09
Brookhaven,Mississippi,-0.03,0.05,0.08,-0.0,-0.08
Brookings,South Dakota,-0.0,0.05,0.01,-0.04,-0.06
Brookline,Massachusetts,-0.02,0.05,-0.03,-0.02,0.02
Brooklyn Center,Minnesota,-0.03,0.06,0.05,-0.03,-0.02
Brooklyn Park,Minnesota,0.02,-0.02,0.09,0.01,0.0
Brooklyn,New York,0.04,-0.02,-0.23,-0.06,0.11
Brooklyn,Ohio,-0.01,-0.0,0.04,0.0,-0.11
Brooksville,Florida,-0.01,0.0,0.03,0.04,0.01
Broomall,Pennsylvania,0.01,0.01,0.0,-0.01,-0.07
Broomfield,Colorado,-0.04,0.01,0.03,0.02,-0.09
Browns Mills,New Jersey,-0.01,0.03,0.02,0.03,-0.03
Brownsburg,Indiana,0.01,0.01,0.1,0.0,-0.07
Brownsville,Texas,0.0,-0.03,-0.11,-0.04,0.1
Brownwood,Texas,-0.02,0.02,0.02,0.02,-0.04
Brunswick,Georgia,-0.0,-0.0,0.03,0.06,-0.04
Brunswick,Maine,-0.04,0.03,0.09,0.03,-0.05
Brunswick,Ohio,-0.0,0.03,0.02,-0.02,-0.06
Bryan,Ohio,-0.03,0.05,0.0,0.02,0.04
Bryan,Texas,-0.07,0.03,-0.09,-0.01,-0.09
Bryant,Arkansas,0.02,-0.03,0.06,-0.01,-0.04
Buchanan,Michigan,0.0,0.02,-0.0,-0.0,-0.02
Buckeye,Arizona,-0.05,0.03,-0.02,0.0,-0.04
Buckhannon,West Virginia,-0.02,0.05,0.03,0.02,0.03
Buckley,Washington,0.02,0.01,0.04,0.02,-0.03
Bucksport,Maine,-0.03,0.04,0.01,-0.02,-0.01
Bucyrus,Ohio,-0.01,0.11,-0.06,-0.02,-0.04
Buena Park,California,-0.0,0.04,0.01,-0.03,0.03
Buffalo Grove,Illinois,0.04,-0.02,0.05,-0.02,-0.08
Buffalo,Minnesota,-0.04,0.02,0.03,-0.03,0.01
Buffalo,New York,-0.03,0.05,-0.11,-0.01,0.01
Buford,Georgia,-0.0,-0.01,0.05,-0.04,-0.06
Bullhead City,Arizona,0.02,0.01,0.04,-0.03,-0.02
Burbank,California,0.04,-0.02,-0.02,0.03,0.11
Burbank,Illinois,0.01,0.07,-0.02,-0.03,-0.1
Burien,Washington,-0.02,0.08,0.01,-0.04,-0.04
Burkburnett,Texas,0.02,-0.02,0.05,0.04,0.01
Burke,Virginia,0.01,0.05,0.03,-0.05,0.01
Burleson,Texas,0.02,-0.01,0.07,0.0,-0.04
Burley,Idaho,-0.03,0.07,0.07,0.0,-0.12
Burlingame,California,-0.0,-0.05,0.05,-0.0,-0.07
Burlington,Iowa,-0.08,0.08,-0.0,-0.01,-0.04
Burlington,Kentucky,-0.04,0.01,0.01,0.0,-0.01
Burlington,Massachusetts,-0.04,0.02,0.04,-0.01,-0.11
Burlington,New Jersey,-0.01,-0.03,-0.05,0.03,-0.04
Burlington,North Carolina,-0.02,0.02,0.05,-0.0,0.02
Burlington,Vermont,-0.02,-0.0,-0.04,0.04,0.03
Burlington,Wisconsin,-0.03,0.02,0.01,-0.04,-0.11
Burnsville,Minnesota,-0.0,-0.03,0.04,-0.05,-0.06
Burton,Michigan,0.01,0.01,0.01,0.03,-0.12
Burtonsville,Maryland,-0.01,0.02,0.01,-0.03,-0.04
Butler,Pennsylvania,-0.07,0.11,0.03,-0.08,-0.04
Butte,Montana,-0.0,-0.04,0.09,0.01,-0.06
Byron Center,Michigan,0.01,0.02,0.06,0.03,-0.1
Byron,Illinois,-0.04,0.06,-0.01,-0.03,-0.05
Cabot,Arkansas,0.01,0.07,0.07,-0.06,-0.07
Cadillac,Michigan,-0.01,-0.0,0.05,0.0,-0.07
Cadiz,Kentucky,-0.02,0.02,0.03,-0.02,-0.06
Cairo,Georgia,0.0,0.04,0.08,0.02,-0.05
Calabasas,California,0.04,-0.03,-0.03,-0.02,0.05
Caldwell,Idaho,-0.04,-0.0,0.09,0.01,-0.0
Caledonia,Michigan,0.03,-0.06,0.04,-0.02,-0.03
Calexico,California,0.01,0.07,-0.01,-0.01,-0.01
Calhoun,Georgia,-0.03,0.05,-0.0,0.01,-0.08
California City,California,0.06,0.03,-0.07,-0.07,-0.13
Calumet City,Illinois,-0.04,0.03,-0.03,-0.01,-0.03
Camarillo,California,-0.01,0.01,0.05,0.01,-0.03
Camas,Washington,-0.02,-0.02,0.02,-0.05,-0.01
Cambridge,Maryland,0.01,0.1,-0.02,-0.0,-0.02
Cambridge,Massachusetts,-0.0,-0.0,-0.08,-0.05,0.14
Cambridge,Minnesota,-0.01,0.01,0.06,0.02,-0.07
Cambridge,Ohio,0.0,0.06,-0.05,-0.04,-0.03
Camden,Arkansas,0.0,0.0,0.01,0.03,-0.01
Camden,New Jersey,0.04,-0.06,-0.1,0.02,0.09
Camden,South Carolina,-0.03,0.04,-0.02,-0.01,-0.0
Camdenton,Missouri,0.02,0.03,0.06,0.02,-0.04
Cameron Park,California,0.01,0.02,0.02,0.02,-0.06
Cameron,Missouri,-0.01,0.03,0.01,0.03,-0.01
Camillus,New York,-0.05,0.06,-0.03,0.01,-0.09
Camp Hill,Pennsylvania,-0.03,0.04,0.03,0.01,-0.08
Campbell,California,-0.01,-0.02,0.04,0.03,-0.07
Campbellsville,Kentucky,-0.02,0.1,0.0,0.0,-0.01
Canal Fulton,Ohio,0.0,0.04,0.01,-0.02,-0.02
Canal Winchester,Ohio,0.01,-0.01,0.03,0.01,-0.05
Canandaigua,New York,-0.07,0.05,-0.03,-0.0,-0.04
Canby,Oregon,-0.0,0.0,0.02,0.0,-0.03
Candyland Estates,Tennessee,0.03,0.03,-0.01,-0.05,-0.07
Canfield,Ohio,0.03,0.04,-0.02,-0.01,-0.06
Canoga Park,California,0.01,-0.01,0.05,-0.03,0.01
Canon City,Colorado,-0.05,0.05,0.02,0.0,-0.01
Canonsburg,Pennsylvania,0.03,-0.03,0.04,0.03,-0.02
Canton,Georgia,-0.07,0.03,0.03,0.02,-0.06
Canton,Illinois,-0.06,0.07,-0.09,-0.03,-0.01
Canton,Michigan,0.02,-0.0,0.09,-0.03,-0.17
Canton,Mississippi,0.0,-0.06,0.02,0.03,-0.05
Canton,Ohio,-0.01,0.05,-0.06,0.04,-0.02
Canyon Country,California,-0.05,0.01,0.05,-0.04,-0.0
Canyon,Texas,-0.02,-0.0,-0.01,0.0,-0.04
Cape Coral,Florida,0.01,-0.01,0.07,0.04,-0.03
Cape Girardeau,Missouri,-0.01,0.08,0.04,0.02,-0.02
Cape May,New Jersey,0.04,-0.06,-0.02,0.02,0.02
Capitol Heights,Maryland,0.05,-0.07,-0.04,0.03,0.05
Carbondale,Illinois,-0.01,0.04,-0.01,-0.04,0.03
Carencro,Louisiana,0.02,-0.0,0.05,-0.02,-0.09
Caribou,Maine,-0.01,-0.01,0.01,0.0,-0.08
Carl Junction,Missouri,-0.02,0.03,0.01,-0.01,-0.04
Carlisle,Pennsylvania,-0.01,0.03,-0.0,0.04,-0.05
Carlsbad,California,0.05,-0.02,0.09,-0.03,-0.0
Carlsbad,New Mexico,-0.01,0.1,-0.02,-0.0,-0.0
Carmel,California,0.01,-0.04,-0.02,-0.02,0.01
Carmel,Indiana,0.01,-0.03,0.02,-0.01,-0.05
Carmel,New York,-0.02,0.02,0.03,-0.0,0.02
Carmichael,California,-0.03,-0.03,0.01,-0.01,-0.03
Caro,Michigan,-0.0,-0.02,0.02,0.01,-0.02
Carol City,Florida,0.02,-0.01,-0.1,0.01,0.08
Carol Stream,Illinois,0.05,-0.01,0.06,0.03,-0.04
Carpentersville,Illinois,-0.02,0.04,0.02,-0.02,-0.07
Carpinteria,California,0.01,-0.02,0.06,0.0,-0.03
Carrollton,Georgia,0.04,0.01,0.03,0.04,0.07
Carrollton,Kentucky,0.02,-0.03,0.06,-0.0,-0.01
Carrollton,Texas,-0.02,-0.01,0.07,-0.05,-0.0
Carson City,Nevada,-0.01,-0.02,0.06,0.03,0.0
Carson,California,0.05,-0.08,0.03,0.01,0.17
Carteret,New Jersey,-0.02,-0.02,0.02,0.01,-0.0
Cartersville,Georgia,0.0,0.06,0.03,0.02,0.04
Carthage,Mississippi,0.01,0.01,-0.02,-0.03,-0.03
Carthage,Missouri,0.01,0.01,0.04,0.01,-0.11
Carthage,New York,-0.02,0.02,0.0,-0.0,-0.0
Cary,Illinois,-0.02,-0.02,0.03,0.01,0.03
Cary,North Carolina,-0.02,0.04,-0.03,-0.08,-0.01
Casa Grande,Arizona,0.02,-0.03,0.05,0.01,0.06
Casper,Wyoming,-0.0,-0.04,-0.0,0.03,-0.03
Casselberry,Florida,0.02,0.03,0.07,0.04,-0.0
Cassopolis,Michigan,-0.03,0.01,0.04,-0.03,-0.06
Castaic,California,-0.0,0.03,0.03,-0.03,0.01
Castle Rock,Colorado,0.0,-0.0,0.08,0.0,-0.08
Castro Valley,California,-0.0,-0.01,0.01,-0.04,0.05
Cathedral City,California,-0.03,0.03,0.01,-0.01,-0.07
Catonsville,Maryland,-0.02,0.01,0.02,-0.04,-0.06
Cave Creek,Arizona,0.04,0.01,0.03,-0.02,-0.0
Cedar City,Utah,-0.02,-0.03,0.13,-0.0,-0.06
Cedar Falls,Iowa,-0.0,-0.03,0.05,0.02,0.01
Cedar Hill,Texas,0.01,0.0,-0.02,-0.0,0.08
Cedar Park,Texas,-0.02,-0.01,0.05,-0.0,-0.07
Cedar Rapids,Iowa,-0.06,0.01,0.01,0.0,-0.07
Cedar Springs,Michigan,0.01,0.02,0.07,-0.01,-0.08
Cedarburg,Wisconsin,-0.01,0.04,0.04,-0.02,-0.03
Cedartown,Georgia,-0.01,0.05,-0.01,0.0,0.03
Celina,Ohio,-0.01,0.02,0.07,-0.0,0.02
Centennial,Colorado,-0.07,-0.02,0.06,0.01,0.05
Center Moriches,New York,-0.0,0.01,0.01,-0.01,-0.01
Centereach,New York,-0.02,0.07,0.04,-0.01,-0.08
Centerville,Ohio,0.01,0.01,0.05,-0.03,-0.09
Centerville,Utah,-0.0,-0.02,0.12,0.0,-0.07
Central Islip,New York,0.01,0.03,-0.04,0.01,0.07
Central Point,Oregon,-0.01,0.03,-0.02,0.0,-0.01
Central Square,New York,-0.03,0.08,-0.01,-0.01,-0.08
Centralia,Illinois,-0.01,0.08,-0.07,0.0,-0.07
Centralia,Washington,-0.02,0.01,0.04,0.03,-0.01
Centreville,Virginia,0.02,0.0,0.01,-0.06,-0.1
Ceres,California,-0.01,0.02,0.01,-0.02,-0.03
Cerritos,California,-0.04,-0.05,0.03,-0.02,0.06
Chagrin Falls,Ohio,-0.02,-0.0,0.09,0.05,0.02
Chalmette,Louisiana,-0.02,0.15,-0.04,-0.0,-0.04
Chambersburg,Pennsylvania,-0.01,0.03,0.05,0.02,-0.0
Champaign,Illinois,-0.02,0.09,0.02,-0.01,0.01
Champlin,Minnesota,0.02,-0.02,0.11,-0.0,-0.08
Chandler,Arizona,0.01,0.02,0.04,-0.01,0.03
Chanhassen,Minnesota,-0.03,-0.01,0.04,-0.02,-0.01
Channelview,Texas,-0.02,0.06,-0.0,-0.03,0.03
Chantilly,Virginia,0.01,0.0,0.04,-0.05,-0.08
Chanute,Kansas,-0.01,0.03,0.02,-0.01,-0.03
Chapel Hill,North Carolina,-0.0,0.0,-0.01,-0.07,0.06
Chardon,Ohio,-0.04,0.03,0.02,-0.01,-0.04
Charles City,Iowa,-0.01,-0.02,0.04,0.04,-0.0
Charleston,Illinois,-0.04,0.01,0.05,0.02,-0.02
Charleston,South Carolina,0.09,-0.03,0.01,0.02,0.04
Charleston,West Virginia,-0.01,0.04,0.03,0.01,0.09
Charlotte,Michigan,-0.06,0.05,0.0,-0.02,-0.02
Charlotte,North Carolina,0.07,0.01,-0.05,-0.03,-0.0
Charlottesville,Virginia,-0.05,0.06,-0.01,-0.04,-0.03
Charlton,Massachusetts,-0.0,0.03,0.0,-0.03,-0.02
Chaska,Minnesota,0.02,-0.03,0.05,0.0,-0.02
Chatham,Illinois,0.03,0.02,0.05,0.03,0.07
Chatsworth,California,0.05,-0.03,0.0,-0.0,0.05
Chatsworth,Georgia,-0.0,0.01,0.03,0.01,0.03
Chattanooga,Tennessee,0.05,-0.06,0.02,0.05,0.01
Cheboygan,Michigan,-0.0,-0.01,0.07,0.02,-0.0
Cheektowaga,New York,-0.02,0.06,-0.03,0.02,-0.08
Chehalis,Washington,0.0,0.01,0.03,-0.01,-0.04
Chelmsford,Massachusetts,0.0,0.0,0.04,0.0,-0.08
Chelsea,Massachusetts,0.03,0.05,0.01,-0.05,-0.07
Chelsea,Michigan,-0.01,0.01,0.05,-0.01,0.0
Cheney,Washington,-0.03,0.01,0.01,-0.0,0.04
Cherry Hill,New Jersey,0.02,0.09,0.02,-0.01,-0.04
Chesapeake,Virginia,-0.03,-0.03,0.11,0.04,-0.0
Cheshire,Connecticut,0.04,0.11,-0.01,-0.07,-0.03
Chester Springs,Pennsylvania,-0.0,0.02,-0.0,-0.01,0.01
Chester,Pennsylvania,0.03,0.01,-0.04,0.03,-0.05
Chester,Virginia,0.0,0.07,-0.0,-0.01,-0.0
Chesterfield,Michigan,-0.03,0.1,0.03,0.02,-0.06
Chesterfield,Missouri,-0.0,0.01,0.04,-0.03,-0.08
Chesterfield,Virginia,-0.03,-0.0,0.01,-0.02,0.02
Chesterland,Ohio,0.01,0.01,0.01,-0.01,-0.05
Chesterton,Indiana,0.02,0.03,0.02,0.04,-0.0
Chevy Chase,Maryland,-0.01,0.08,-0.01,-0.01,-0.02
Cheyenne,Wyoming,-0.15,0.09,-0.03,0.04,-0.11
Chicago Heights,Illinois,0.02,-0.05,-0.08,0.06,0.02
Chicago,Illinois,0.12,-0.1,-0.11,0.05,0.14
Chickamauga,Georgia,0.03,-0.0,0.02,-0.0,0.02
Chickasha,Oklahoma,-0.03,0.04,0.03,-0.01,-0.07
Chico,California,-0.05,0.02,0.09,0.03,0.1
Chicopee,Massachusetts,-0.05,0.08,-0.0,-0.01,-0.09
Chillicothe,Illinois,-0.01,-0.04,0.09,0.01,-0.03
Chillicothe,Missouri,0.01,0.01,0.05,-0.01,-0.07
Chillicothe,Ohio,0.03,-0.02,0.05,-0.01,-0.03
Chino Hills,California,0.06,-0.09,0.02,-0.03,0.01
Chino,California,0.02,-0.05,0.07,0.03,0.09
Chippewa Falls,Wisconsin,0.01,-0.0,0.03,0.02,-0.1
Choctaw,Oklahoma,-0.03,0.02,0.08,-0.02,-0.04
Christiansburg,Virginia,0.0,0.06,0.04,0.04,-0.02
Chula Vista,California,0.03,-0.04,0.09,-0.04,0.1
Cicero,Illinois,0.0,0.11,-0.03,-0.03,-0.03
Cincinnati,Ohio,0.01,-0.01,0.02,0.07,0.06
Cinnaminson,New Jersey,0.01,0.01,0.02,-0.0,0.0
Circle Pines,Minnesota,-0.01,0.01,0.06,-0.01,-0.04
Circleville,Ohio,-0.06,0.05,0.03,0.03,-0.02
Citrus Heights,California,-0.01,-0.02,0.12,0.04,0.03
Clackamas,Oregon,0.05,-0.01,0.04,0.0,-0.07
Claremont,California,0.02,0.03,0.02,0.02,0.09
Claremore,Oklahoma,-0.03,-0.02,0.06,-0.03,-0.04
Clark,New Jersey,0.0,0.0,0.02,-0.01,-0.06
Clarks Summit,Pennsylvania,0.03,-0.01,0.07,0.0,0.06
Clarksburg,West Virginia,-0.01,0.07,-0.0,0.03,-0.02
Clarksdale,Mississippi,0.01,-0.08,0.05,0.03,-0.01
Clarkston,Michigan,-0.0,0.04,-0.0,-0.02,-0.06
Clarkston,Washington,0.0,0.05,0.02,0.02,-0.03
Clarksville,Arkansas,-0.02,0.01,0.06,0.02,-0.05
Clarksville,Indiana,-0.02,0.02,0.05,-0.02,-0.06
Clarksville,Tennessee,0.0,0.05,-0.01,0.01,-0.1
Clawson,Michigan,-0.0,0.02,0.01,0.0,-0.09
Claymont,Delaware,-0.04,0.06,0.02,-0.03,-0.0
Clayton,North Carolina,-0.03,0.03,0.05,-0.0,-0.06
Clearfield,Utah,-0.03,0.02,0.07,0.01,-0.04
Clearwater,Florida,0.06,-0.01,0.07,0.02,0.06
Cleburne,Texas,-0.0,0.03,-0.03,-0.01,-0.02
Clemmons,North Carolina,-0.01,0.0,0.01,0.02,-0.01
Clermont,Florida,-0.03,0.02,-0.02,-0.01,-0.04
Cleveland Heights,Ohio,-0.04,0.02,-0.03,-0.01,-0.0
Cleveland,Georgia,-0.01,0.01,0.07,-0.01,-0.01
Cleveland,Mississippi,0.02,0.02,-0.03,0.0,0.03
Cleveland,Ohio,0.05,-0.06,-0.12,0.06,0.08
Cleveland,Tennessee,0.03,0.05,0.09,0.07,-0.07
Clifton Park,New York,0.01,-0.02,0.04,0.03,-0.02
Clifton,New Jersey,-0.01,0.1,-0.03,-0.03,-0.04
Clinton Township,Michigan,0.01,0.01,-0.0,0.01,-0.09
Clinton,Connecticut,-0.03,0.07,0.02,-0.03,-0.0
Clinton,Iowa,-0.02,0.05,-0.02,0.02,-0.04
Clinton,Maryland,0.0,-0.06,0.0,0.05,0.0
Clinton,Mississippi,-0.04,0.04,-0.03,-0.01,-0.06
Clinton,Missouri,0.0,-0.04,0.02,0.02,-0.04
Clinton,Tennessee,0.04,0.02,0.0,-0.0,-0.03
Clinton,Utah,0.03,0.04,0.05,-0.01,-0.03
Clio,Michigan,-0.04,0.02,-0.02,0.0,-0.13
Cloquet,Minnesota,-0.03,0.07,0.04,-0.05,-0.09
Clover,South Carolina,-0.01,-0.01,0.01,-0.01,-0.07
Clovis,California,-0.02,-0.02,0.06,0.02,0.02
Clovis,New Mexico,-0.06,0.06,-0.0,0.01,-0.1
Coatesville,Pennsylvania,-0.02,0.06,-0.04,-0.06,-0.06
Cockeysville,Maryland,-0.01,0.02,0.07,-0.0,-0.03
Cocoa Beach,Florida,-0.0,-0.04,0.07,0.01,0.02
Cocoa,Florida,0.04,0.01,0.06,0.04,0.04
Coconut Creek,Florida,0.02,0.01,-0.01,-0.04,0.07
Cody,Wyoming,-0.02,0.0,0.05,0.01,0.03
Coeur D'alene,Idaho,-0.0,-0.05,0.08,0.02,0.01
Coffeyville,Kansas,-0.01,0.01,0.01,0.01,0.02
Cohoes,New York,-0.03,-0.0,0.01,-0.01,-0.03
Colchester,Connecticut,0.01,0.01,0.04,-0.03,0.0
Colchester,Vermont,-0.01,0.04,0.06,-0.01,-0.07
Coldwater,Michigan,-0.0,0.04,0.06,-0.0,-0.02
College Park,Georgia,0.04,-0.1,-0.14,0.0,0.03
College Park,Maryland,-0.0,0.01,0.02,-0.02,-0.02
College Point,New York,-0.03,0.09,-0.07,-0.04,-0.04
College Station,Texas,-0.01,-0.0,0.02,-0.0,0.03
Collegeville,Pennsylvania,-0.02,0.05,-0.01,-0.01,-0.05
Colleyville,Texas,0.03,-0.0,0.01,-0.01,-0.02
Collierville,Tennessee,-0.04,-0.04,0.1,0.0,-0.1
Collinsville,Illinois,-0.03,0.1,0.01,0.01,-0.12
Colonia,New Jersey,0.02,-0.03,0.02,-0.01,0.04
Colonial Heights,Virginia,-0.01,0.06,0.02,0.03,-0.14
Colonie,New York,0.02,0.04,0.06,-0.01,0.01
Colorado Springs,Colorado,-0.05,-0.05,0.07,0.02,0.04
Colton,California,0.05,-0.02,0.04,-0.04,0.03
Columbia City,Indiana,0.0,0.04,0.01,-0.01,-0.01
Columbia Falls,Montana,-0.01,0.01,0.04,-0.01,-0.09
Columbia Heights,Minnesota,-0.01,-0.01,0.02,-0.02,-0.03
Columbia,Illinois,-0.05,0.07,-0.0,-0.02,-0.0
Columbia,Maryland,-0.0,0.03,-0.04,-0.05,-0.01
Columbia,Mississippi,0.0,0.02,-0.03,-0.01,0.02
Columbia,Missouri,0.01,-0.03,0.12,0.03,0.02
Columbia,Pennsylvania,-0.03,0.03,-0.01,-0.0,-0.02
Columbia,South Carolina,0.13,-0.07,-0.01,0.02,0.06
Columbia,Tennessee,-0.03,0.05,0.02,0.07,-0.1
Columbus,Georgia,0.03,-0.03,-0.02,-0.02,0.05
Columbus,Indiana,-0.02,0.09,-0.02,0.01,-0.05
Columbus,Mississippi,0.09,0.02,-0.0,0.02,0.07
Columbus,Nebraska,-0.05,0.07,0.04,-0.03,-0.01
Columbus,Ohio,0.02,-0.06,-0.03,0.02,0.02
Commack,New York,0.03,-0.01,-0.03,0.0,-0.08
Commerce,Michigan,0.05,-0.02,0.07,-0.01,-0.04
Compton,California,0.13,-0.14,-0.07,0.01,0.17
Concord,California,-0.01,-0.01,0.06,-0.02,-0.0
Concord,Massachusetts,-0.02,0.05,0.03,-0.03,0.05
Concord,New Hampshire,-0.04,0.08,0.01,-0.03,-0.07
Concord,North Carolina,-0.0,-0.04,0.06,0.0,0.04
Connellsville,Pennsylvania,-0.0,0.08,0.01,0.02,-0.02
Connersville,Indiana,-0.02,-0.01,0.01,0.03,-0.04
Conroe,Texas,-0.02,0.07,0.01,0.01,-0.04
Conway,Arkansas,-0.03,0.03,0.04,-0.0,-0.04
Conway,South Carolina,-0.02,0.03,0.02,0.02,-0.01
Conyers,Georgia,0.0,0.04,0.01,-0.0,-0.02
Cookeville,Tennessee,0.01,-0.02,0.07,-0.04,0.01
Coon Rapids,Minnesota,-0.01,-0.01,0.09,0.0,-0.09
Cooper City,Florida,0.04,-0.02,0.08,0.01,-0.02
Coopersburg,Pennsylvania,0.01,-0.06,0.07,-0.01,0.0
Coopersville,Michigan,-0.0,-0.02,0.02,0.02,-0.05
Coos Bay,Oregon,-0.03,-0.03,0.08,-0.01,-0.04
Copiague,New York,0.02,0.03,-0.01,-0.02,-0.03
Copley,Ohio,-0.01,0.02,0.04,-0.02,0.01
Coppell,Texas,0.04,-0.04,0.04,-0.02,-0.04
Copperas Cove,Texas,-0.06,-0.02,-0.04,0.05,-0.11
Coral Gables,Florida,0.04,-0.01,0.01,0.01,0.04
Coral Springs,Florida,0.04,0.03,-0.01,0.01,0.01
Coram,New York,-0.0,0.05,0.0,-0.02,-0.04
Corbin,Kentucky,-0.04,0.07,-0.02,0.04,-0.03
Cordova,Tennessee,-0.03,0.01,0.02,0.0,-0.05
Corinth,Mississippi,-0.01,-0.02,0.07,0.01,0.0
Corning,New York,-0.02,0.02,0.02,0.04,-0.05
Corona,California,0.04,-0.04,0.0,-0.01,0.03
Corona,New York,-0.01,0.08,-0.07,-0.07,0.02
Coronado,California,0.01,-0.02,0.02,-0.03,0.02
Corpus Christi,Texas,0.01,-0.08,-0.0,-0.04,0.05
Corsicana,Texas,-0.05,0.01,0.04,-0.01,-0.01
Cortland,New York,-0.05,0.05,0.04,0.03,-0.02
Cortland,Ohio,0.01,0.02,0.05,-0.01,-0.03
Corvallis,Oregon,-0.09,-0.08,0.06,0.03,-0.01
Corydon,Indiana,-0.02,0.05,0.02,0.0,-0.11
Coshocton,Ohio,-0.0,0.02,0.04,0.01,-0.06
Costa Mesa,California,-0.01,-0.05,0.06,-0.0,0.06
Cottage Grove,Minnesota,-0.03,-0.02,0.1,0.02,-0.04
Cottage Grove,Oregon,-0.04,0.01,0.04,-0.0,-0.02
Cottonwood Heights,Utah,-0.0,-0.0,0.04,0.0,-0.07
Cottonwood,Arizona,-0.03,0.03,0.04,-0.02,-0.04
Council Bluffs,Iowa,0.01,0.05,-0.01,0.02,-0.09
Coventry,Connecticut,-0.02,0.06,0.04,-0.04,0.05
Coventry,Rhode Island,0.02,-0.05,0.04,0.01,-0.01
Covina,California,0.01,-0.05,0.06,0.01,0.05
Covington,Georgia,0.01,0.02,0.02,0.01,-0.06
Covington,Kentucky,-0.01,0.05,-0.06,-0.03,-0.04
Covington,Louisiana,0.02,0.03,0.07,-0.02,-0.02
Covington,Washington,-0.02,0.06,0.01,-0.02,-0.01
Coweta,Oklahoma,-0.02,0.05,0.01,-0.02,-0.06
Cranford,New Jersey,0.02,0.01,0.03,0.01,-0.0
Cranston,Rhode Island,-0.01,0.12,-0.01,-0.0,-0.04
Crawfordsville,Indiana,-0.03,0.09,-0.02,0.01,-0.09
Crescent City,California,-0.03,-0.0,0.05,0.04,-0.05
Crestline,California,0.02,-0.06,0.05,-0.01,0.02
Crestview,Florida,-0.04,0.02,0.06,-0.0,0.02
Crestwood,Kentucky,-0.04,0.02,0.03,0.04,-0.06
Crete,Illinois,-0.02,0.03,-0.01,0.0,-0.05
Crofton,Maryland,0.06,-0.04,0.02,-0.04,-0.02
Cromwell,Connecticut,0.01,-0.01,0.02,-0.0,-0.06
Crosby,Texas,-0.0,0.01,0.03,-0.01,-0.06
Crossett,Arkansas,0.0,0.04,-0.02,0.02,-0.1
Crossville,Tennessee,-0.02,0.04,0.01,0.01,-0.04
Crowley,Texas,-0.0,0.02,-0.01,0.01,-0.04
Crown Point,Indiana,0.03,0.08,0.02,-0.01,-0.03
Croydon,Pennsylvania,0.03,0.05,-0.02,0.0,-0.03
Crystal Lake,Illinois,0.02,0.06,0.0,0.03,-0.09
Crystal River,Florida,-0.03,0.08,0.04,0.01,-0.08
Crystal,Minnesota,-0.0,0.05,0.0,-0.01,-0.0
Cudahy,Wisconsin,-0.02,0.07,-0.01,0.0,-0.03
Cullman,Alabama,0.03,0.04,0.08,0.04,-0.05
Culpeper,Virginia,-0.0,0.05,0.04,0.02,-0.06
Culver City,California,0.01,-0.03,-0.03,-0.06,0.05
Cumberland,Maryland,-0.0,0.06,-0.01,0.01,-0.01
Cumberland,Rhode Island,-0.04,0.07,0.01,-0.03,-0.02
Cumming,Georgia,-0.0,-0.02,0.04,0.01,-0.1
Cupertino,California,-0.07,0.01,0.07,-0.09,-0.03
Cuyahoga Falls,Ohio,-0.01,0.02,0.06,0.01,0.0
Cypress,California,0.03,-0.01,0.07,-0.07,0.02
Cypress,Texas,0.03,-0.01,0.08,0.02,-0.04
Dacula,Georgia,-0.01,0.01,0.04,-0.02,-0.02
Dade City,Florida,-0.02,0.0,0.0,-0.02,-0.04
Dahlonega,Georgia,-0.0,-0.01,0.05,-0.0,0.04
Dale City,Virginia,-0.01,0.0,0.01,-0.03,0.02
Dallas,Georgia,0.05,0.02,0.04,-0.01,-0.03
Dallas,North Carolina,-0.0,0.04,0.0,0.02,-0.16
Dallas,Oregon,-0.04,-0.01,0.04,-0.01,0.03
Dallas,Texas,0.08,-0.07,-0.02,-0.01,0.09
Dallastown,Pennsylvania,-0.0,0.02,0.04,-0.01,-0.07
Dalton,Georgia,-0.03,0.13,-0.07,-0.0,0.01
Daly City,California,-0.03,0.05,0.02,-0.04,-0.01
Damascus,Maryland,-0.0,0.01,0.04,-0.04,-0.06
Dana Point,California,0.0,0.0,0.07,-0.01,0.07
Danbury,Connecticut,0.02,0.04,-0.06,-0.02,0.02
Danvers,Massachusetts,-0.04,0.03,-0.0,-0.0,0.02
Danville,California,0.08,-0.03,0.01,-0.05,0.08
Danville,Illinois,-0.07,0.09,-0.02,0.0,-0.05
Danville,Indiana,-0.03,-0.02,0.03,0.01,-0.01
Danville,Kentucky,0.02,0.04,0.0,-0.0,0.06
Danville,Pennsylvania,-0.02,0.0,0.06,0.04,-0.13
Danville,Virginia,0.01,0.02,-0.0,0.01,-0.09
Daphne,Alabama,-0.01,0.02,0.07,-0.01,-0.01
Darby,Pennsylvania,-0.01,0.02,-0.04,0.01,0.03
Darien,Illinois,0.05,-0.0,0.01,-0.03,-0.06
Darlington,South Carolina,-0.02,-0.01,0.06,0.02,-0.05
Dartmouth,Massachusetts,0.01,0.01,-0.02,0.02,-0.04
Davenport,Iowa,0.01,0.02,0.01,-0.01,-0.13
Davie,Florida,-0.0,0.01,0.0,-0.02,0.04
Davis,California,-0.02,0.0,0.06,-0.07,0.03
Davison,Michigan,-0.05,-0.02,0.1,0.02,0.01
